村志代码 Gazetteer Code,村志书名 Gazetteer Title,海拔 (米) Altitude,平均降水量单位 Average Yearly Precipitation Unit,平均降水量 Average Yearly Precipitation Amount,平均温度单位 Average Yearly Temperature Unit,平均温度 Average Yearly Temperature
0001,太平店村志,n/a,毫米 millimeter,700,°C,14
0003,马鞭田村志,1225,毫米 millimeter,1279.8,°C,15
0004,万秀村志,n/a,毫米 millimeter,1310,°C,21.6
0005,光淀村志,n/a,毫米 millimeter,529.7,°C,12.2
0006,方等村志,61,没有相关数据 No Available Data,n/a,°C,12.7
0007,渔津洼村志,n/a,毫米 millimeter,543.6,°C,11.5
0008,板板桥村志,1600,毫米 millimeter,2963,°C,15.7
0009,仓上村志,n/a,毫米 millimeter,534.7,°C,13
0010,草场地村志,n/a,毫米 millimeter,600,没有相关数据 No Available Data,n/a
0011,桥梓村志,n/a,毫米 millimeter,1790,°C,22
0012,东侯坊村志,n/a,毫米 millimeter,480,没有相关数据 No Available Data,n/a
0013,黄土岗村志,n/a,毫米 millimeter,210.7,°C,13.7
0014,桑耳庄村志,n/a,毫米 millimeter,500,°C,12
0016,上梅林村志,n/a,毫米 millimeter,1948.4,°C,22.4
0017,单家村村志,34.3,毫米 millimeter,644.2,°C,11.4
0018,生产村志,n/a,毫米 millimeter,865.4,°C,11.6
0019,树园村志,n/a,毫米 millimeter,1171.7,没有相关数据 No Available Data,n/a
0020,西黄村村志,n/a,毫米 millimeter,569.4,没有相关数据 No Available Data,n/a
0021,张坊村志,n/a,毫米 millimeter,650,没有相关数据 No Available Data,n/a
0022,张家圩子村志,n/a,毫米 millimeter,710,°C,13.2
0023,凤池村志,128,毫米 millimeter,1660,°C,19.3
0024,楼村志,n/a,毫米 millimeter,1926.7,°C,22
0026,孟莲村志,n/a,毫米 millimeter,1217.9,°C,21.8
0029,刘国忠村志,n/a,毫米 millimeter,400,没有相关数据 No Available Data,n/a
0030,管元村志,1350,毫米 millimeter,1365,°C,14
0031,南凤山村志,n/a,毫米 millimeter,571.5,°C,13.2
0032,井亭村志,n/a,毫米 millimeter,1114.7,°C,15.5
0034,胡家村志,n/a,毫米 millimeter,570.4,°C,5.7
0035,洪塘头村志,n/a,毫米 millimeter,1411,°C,21
